=== Текст запроса ===

-- ============================================================
-- Запрос 4: Накопленная сумма продаж по каждой аптеке
-- ============================================================
-- Используемые конструкции: оконная функция SUM() OVER (PARTITION BY ... ORDER BY ...)
-- Логика: для каждой строки заказа показываем аптеку, дату, сумму заказа
-- и накопленную сумму продаж внутри этой аптеки по дате (ORDER BY report_date).
-- ============================================================

SELECT 
    pharmacy_name AS аптека,
    report_date AS дата,
    (price * count) AS сумма_заказа_руб,
    SUM(price * count) OVER (
        PARTITION BY pharmacy_name 
        ORDER BY report_date, order_id
    ) AS накопленная_сумма_руб
FROM pharma_orders
ORDER BY pharmacy_name, report_date, order_id;

=== Результат ===

аптека          дата        сумма_заказа_руб  накопленная_сумма_руб
Cтоличная       2024-02-13              1350                 163598
Cтоличная       2024-02-14              3872                 167470
Cтоличная       2024-02-14              1350                 168820
Cтоличная       2024-02-14              1034                 169854
Cтоличная       2024-02-14              2562                 172416
Cтоличная       2024-02-14              3028                 175444
Cтоличная       2024-02-14              3520                 178964
Cтоличная       2024-02-14              1980                 180944
Cтоличная       2024-02-15              1620                 182564
Cтоличная       2024-02-15              2644                 185208
Cтоличная       2024-02-15              1350                 186558
Cтоличная       2024-02-15              1296                 187854
Cтоличная       2024-02-15              2556                 190410
Cтоличная       2024-02-15               450                 190860
Cтоличная       2024-02-15              2661                 193521
Cтоличная       2024-02-15              4920                 198441
Cтоличная       2024-02-16              1856                 200297
Cтоличная       2024-02-16              1672                 201969
Cтоличная       2024-02-16              1480                 203449
Cтоличная       2024-02-16              1544                 204993
Cтоличная       2024-02-16              2706                 207699
Cтоличная       2024-02-16               563                 208262
Cтоличная       2024-02-16               337                 208599
Cтоличная       2024-02-16               984                 209583
Cтоличная       2024-02-17              1864                 211447
Cтоличная       2024-02-17               794                 212241
Cтоличная       2024-02-17               450                 212691
Cтоличная       2024-02-17               440                 213131
Cтоличная       2024-02-17              1122                 214253
Cтоличная       2024-02-17              1618                 215871
Cтоличная       2024-02-18              4950                 220821
Cтоличная       2024-02-18              2480                 223301
Cтоличная       2024-02-18               536                 223837
Cтоличная       2024-02-18              1938                 225775
Cтоличная       2024-02-18              1350                 227125
Cтоличная       2024-02-18               495                 227620
Cтоличная       2024-02-18              3355                 230975
Cтоличная       2024-02-18               737                 231712
Cтоличная       2024-02-18              3720                 235432
Cтоличная       2024-02-19               702                 236134
Cтоличная       2024-02-19              2415                 238549
Cтоличная       2024-02-19               834                 239383
Cтоличная       2024-02-19               407                 239790
Cтоличная       2024-02-19              1918                 241708
Cтоличная       2024-02-19              2092                 243800
Cтоличная       2024-02-19               927                 244727
Cтоличная       2024-02-19              1269                 245996
Cтоличная       2024-02-19              1575                 247571
Cтоличная       2024-02-20              2421                 249992
Cтоличная       2024-02-20              4135                 254127
Cтоличная       2024-02-20               661                 254788
Cтоличная       2024-02-20              1436                 256224
Cтоличная       2024-02-20              1350                 257574
Cтоличная       2024-02-20              2310                 259884
Cтоличная       2024-02-20              1552                 261436
Cтоличная       2024-02-20              1344                 262780
Cтоличная       2024-02-21              3948                 266728
Cтоличная       2024-02-21              2940                 269668
Cтоличная       2024-02-21               450                 270118
Cтоличная       2024-02-21               961                 271079
Cтоличная       2024-02-21               849                 271928
Cтоличная       2024-02-21              3384                 275312
Cтоличная       2024-02-22              4090                 279402
Cтоличная       2024-02-22              4375                 283777
Cтоличная       2024-02-22               859                 284636
Cтоличная       2024-02-22              2250                 286886
Cтоличная       2024-02-22               628                 287514
Cтоличная       2024-02-22              3580                 291094
Cтоличная       2024-02-22              2025                 293119
Cтоличная       2024-02-22               736                 293855
Cтоличная       2024-02-22               600                 294455
Cтоличная       2024-02-23              2625                 297080
Cтоличная       2024-02-23              3788                 300868
Cтоличная       2024-02-23              1224                 302092
Cтоличная       2024-02-23              2250                 304342
Cтоличная       2024-02-24              2070                 306412
Cтоличная       2024-02-24               360                 306772
Cтоличная       2024-02-24               594                 307366
Cтоличная       2024-02-24              2170                 309536
Cтоличная       2024-02-25              4580                 314116
Cтоличная       2024-02-25              1224                 315340
Cтоличная       2024-02-25              1800                 317140
Cтоличная       2024-02-25              4760                 321900
Cтоличная       2024-02-25              2250                 324150
Cтоличная       2024-02-25              3244                 327394
Cтоличная       2024-02-25              2250                 329644
Cтоличная       2024-02-25              1512                 331156
Cтоличная       2024-02-25              1655                 332811
Cтоличная       2024-02-25              4070                 336881
Cтоличная       2024-02-25               668                 337549
Cтоличная       2024-02-25               988                 338537
Cтоличная       2024-02-26              3808                 342345
Cтоличная       2024-02-26              2646                 344991
Cтоличная       2024-02-26              1216                 346207
Cтоличная       2024-02-26              1215                 347422
Cтоличная       2024-02-26              1660                 349082
Cтоличная       2024-02-26              3935                 353017
Cтоличная       2024-02-27              1179                 354196
Cтоличная       2024-02-27              1848                 356044
Cтоличная       2024-02-27               972                 357016
Cтоличная       2024-02-27              1356                 358372
Cтоличная       2024-02-27              1238                 359610
Cтоличная       2024-02-27              1332                 360942
Cтоличная       2024-02-27               650                 361592
Cтоличная       2024-02-27              1208                 362800
Cтоличная       2024-02-27              4890                 367690
Cтоличная       2024-02-27               450                 368140
Cтоличная       2024-02-28               876                 369016
Cтоличная       2024-02-28              2730                 371746
Cтоличная       2024-02-28              1855                 373601
Cтоличная       2024-02-28              1350                 374951
Cтоличная       2024-02-28               994                 375945
Cтоличная       2024-02-28              1623                 377568
Cтоличная       2024-02-28               667                 378235
Cтоличная       2024-02-29              1371                 379606
Cтоличная       2024-02-29               820                 380426
Cтоличная       2024-02-29              3360                 383786
Cтоличная       2024-02-29              1545                 385331
Cтоличная       2024-02-29              2481                 387812
Cтоличная       2024-02-29              2532                 390344
Cтоличная       2024-02-29              2160                 392504
Cтоличная       2024-02-29              1152                 393656
Cтоличная       2024-02-29              1876                 395532
Cтоличная       2024-02-29              2525                 398057
Cтоличная       2024-02-29               369                 398426
Cтоличная       2024-02-29               357                 398783
Cтоличная       2024-02-29               802                 399585
Cтоличная       2024-03-01               450                 400035
Cтоличная       2024-03-01              2400                 402435
Cтоличная       2024-03-01              2319                 404754
Cтоличная       2024-03-02               854                 405608
Cтоличная       2024-03-02              1568                 407176
Cтоличная       2024-03-02              2346                 409522
Cтоличная       2024-03-02              1028                 410550
Cтоличная       2024-03-02              1062                 411612
Cтоличная       2024-03-03               450                 412062
Cтоличная       2024-03-03               822                 412884
Cтоличная       2024-03-03              2112                 414996
Cтоличная       2024-03-03               906                 415902
Cтоличная       2024-03-03               599                 416501
Cтоличная       2024-03-03              2331                 418832
Cтоличная       2024-03-03              1458                 420290
Cтоличная       2024-03-03              2530                 422820
Cтоличная       2024-03-04               887                 423707
Cтоличная       2024-03-04              1620                 425327
Cтоличная       2024-03-04               554                 425881
Cтоличная       2024-03-04              4785                 430666
Cтоличная       2024-03-04              1953                 432619
Cтоличная       2024-03-04              3845                 436464
Cтоличная       2024-03-04               450                 436914
Cтоличная       2024-03-05              1884                 438798
Cтоличная       2024-03-05              2250                 441048
Cтоличная       2024-03-05              1800                 442848
Cтоличная       2024-03-05              3525                 446373
Cтоличная       2024-03-05              4245                 450618
Cтоличная       2024-03-05              1350                 451968
Cтоличная       2024-03-05               450                 452418
Cтоличная       2024-03-06              2716                 455134
Cтоличная       2024-03-06              1554                 456688
Cтоличная       2024-03-07              3556                 460244
Cтоличная       2024-03-07              2955                 463199
Cтоличная       2024-03-08               975                 464174
Cтоличная       2024-03-08              4885                 469059
Cтоличная       2024-03-08              3540                 472599
Cтоличная       2024-03-08              1766                 474365
Cтоличная       2024-03-08              1995                 476360
Cтоличная       2024-03-08              2298                 478658
Cтоличная       2024-03-09              2630                 481288
Cтоличная       2024-03-09               326                 481614
Cтоличная       2024-03-09              4670                 486284
Cтоличная       2024-03-09              1026                 487310
Cтоличная       2024-03-09              4060                 491370
Cтоличная       2024-03-09              1350                 492720
Cтоличная       2024-03-09               758                 493478
Cтоличная       2024-03-09              3535                 497013
Cтоличная       2024-03-09               905                 497918
Cтоличная       2024-03-09              2688                 500606
Cтоличная       2024-03-09              2112                 502718
Cтоличная       2024-03-09              1872                 504590
Cтоличная       2024-03-09              4035                 508625
Cтоличная       2024-03-09              3535                 512160
Cтоличная       2024-03-09              1041                 513201
Cтоличная       2024-03-09               520                 513721
Cтоличная       2024-03-10              4520                 518241
Cтоличная       2024-03-10              1408                 519649
Cтоличная       2024-03-10              2568                 522217
Cтоличная       2024-03-10              1119                 523336
Cтоличная       2024-03-10              4720                 528056
Cтоличная       2024-03-10              1136                 529192
Cтоличная       2024-03-10              3450                 532642
Cтоличная       2024-03-10              3332                 535974
Cтоличная       2024-03-11              3400                 539374
Cтоличная       2024-03-11              1844                 541218
Cтоличная       2024-03-11               329                 541547
Cтоличная       2024-03-11              1416                 542963
Cтоличная       2024-03-11              1222                 544185
Cтоличная       2024-03-11               830                 545015
Cтоличная       2024-03-11              1890                 546905
Cтоличная       2024-03-11              1206                 548111
Cтоличная       2024-03-12              3315                 551426
Cтоличная       2024-03-12               434                 551860
Cтоличная       2024-03-12              2166                 554026
Cтоличная       2024-03-12               714                 554740
Cтоличная       2024-03-12               626                 555366
Cтоличная       2024-03-12              2812                 558178
Cтоличная       2024-03-13              3864                 562042
Cтоличная       2024-03-13               854                 562896
Cтоличная       2024-03-13              1800                 564696
Cтоличная       2024-03-13              2660                 567356
Cтоличная       2024-03-13              1978                 569334
Cтоличная       2024-03-13              4915                 574249
Cтоличная       2024-03-14              1735                 575984
Cтоличная       2024-03-14              1620                 577604
Cтоличная       2024-03-14               758                 578362
Cтоличная       2024-03-14              1317                 579679
Cтоличная       2024-03-14              1800                 581479
Cтоличная       2024-03-14              1350                 582829
Cтоличная       2024-03-14              1740                 584569
Cтоличная       2024-03-15              3170                 587739
Cтоличная       2024-03-15              4055                 591794
Cтоличная       2024-03-15              2320                 594114
Cтоличная       2024-03-15              1242                 595356
Cтоличная       2024-03-15              2019                 597375
Cтоличная       2024-03-15              3615                 600990
Cтоличная       2024-03-15              2946                 603936
Cтоличная       2024-03-15              2430                 606366
Cтоличная       2024-03-15               942                 607308
Cтоличная       2024-03-15              2945                 610253
Cтоличная       2024-03-16              1017                 611270
Cтоличная       2024-03-16              2360                 613630
Cтоличная       2024-03-16              1410                 615040
Cтоличная       2024-03-17               795                 615835
Cтоличная       2024-03-17              4820                 620655
Cтоличная       2024-03-17              1350                 622005
Cтоличная       2024-03-17              2055                 624060
Cтоличная       2024-03-17               846                 624906
Cтоличная       2024-03-17              2460                 627366
Cтоличная       2024-03-17              1632                 628998
Cтоличная       2024-03-17              2876                 631874
Cтоличная       2024-03-18               916                 632790
Cтоличная       2024-03-18              1536                 634326
Cтоличная       2024-03-18               696                 635022
Cтоличная       2024-03-18              1204                 636226
Cтоличная       2024-03-18              1401                 637627
Cтоличная       2024-03-18               771                 638398
Cтоличная       2024-03-18               627                 639025
Cтоличная       2024-03-18              3576                 642601
Cтоличная       2024-03-18               360                 642961
Cтоличная       2024-03-18               814                 643775
Cтоличная       2024-03-18              1800                 645575
Cтоличная       2024-03-18              4530                 650105
Cтоличная       2024-03-18              2742                 652847
Cтоличная       2024-03-18              1646                 654493
Cтоличная       2024-03-19              1656                 656149
Cтоличная       2024-03-19              1431                 657580
Cтоличная       2024-03-19               820                 658400
Cтоличная       2024-03-19              3796                 662196
Cтоличная       2024-03-19              4495                 666691
Cтоличная       2024-03-19              1274                 667965
Cтоличная       2024-03-19               764                 668729
Cтоличная       2024-03-19              2025                 670754
Cтоличная       2024-03-19              4720                 675474
Cтоличная       2024-03-19              2568                 678042
Cтоличная       2024-03-20              1780                 679822
Cтоличная       2024-03-20              3528                 683350
Cтоличная       2024-03-20              2175                 685525
Cтоличная       2024-03-20              1090                 686615
Cтоличная       2024-03-20              4015                 690630
Cтоличная       2024-03-20               972                 691602
Cтоличная       2024-03-20              2730                 694332
Cтоличная       2024-03-20              1690                 696022
Cтоличная       2024-03-21               904                 696926
Cтоличная       2024-03-21              3400                 700326
Cтоличная       2024-03-21              1220                 701546
Cтоличная       2024-03-21              2250                 703796
Cтоличная       2024-03-21              3172                 706968
Cтоличная       2024-03-21               956                 707924
Cтоличная       2024-03-21               900                 708824
Cтоличная       2024-03-21              2529                 711353
Cтоличная       2024-03-21              2576                 713929
Cтоличная       2024-03-21              2250                 716179
Cтоличная       2024-03-22              1006                 717185
Cтоличная       2024-03-22              3236                 720421
Cтоличная       2024-03-22               575                 720996
Cтоличная       2024-03-23              2250                 723246
Cтоличная       2024-03-23              1742                 724988
Cтоличная       2024-03-23              4205                 729193
Cтоличная       2024-03-23               658                 729851
Cтоличная       2024-03-23               784                 730635
Cтоличная       2024-03-23              1268                 731903
Cтоличная       2024-03-23              1734                 733637
Cтоличная       2024-03-24              1626                 735263
Cтоличная       2024-03-24               450                 735713
Cтоличная       2024-03-24              1644                 737357
Cтоличная       2024-03-24              1836                 739193
Cтоличная       2024-03-24              3712                 742905
Cтоличная       2024-03-24              1800                 744705
Cтоличная       2024-03-24              2121                 746826
Cтоличная       2024-03-24              1350                 748176
Cтоличная       2024-03-25               708                 748884
Cтоличная       2024-03-25               450                 749334
Cтоличная       2024-03-25              3400                 752734
Cтоличная       2024-03-25              2505                 755239
Cтоличная       2024-03-25              4355                 759594
Cтоличная       2024-03-25              2370                 761964
Cтоличная       2024-03-25              3750                 765714
Cтоличная       2024-03-25              2195                 767909
Cтоличная       2024-03-25              1396                 769305
Cтоличная       2024-03-26              1260                 770565
Cтоличная       2024-03-26              3315                 773880
Cтоличная       2024-03-26              3276                 777156
Cтоличная       2024-03-26              3056                 780212
Cтоличная       2024-03-26              1976                 782188
Cтоличная       2024-03-26              1800                 783988
Cтоличная       2024-03-26              2778                 786766
Cтоличная       2024-03-26               816                 787582
Cтоличная       2024-03-26              1000                 788582
Cтоличная       2024-03-26              1029                 789611
Cтоличная       2024-03-26              4625                 794236
Cтоличная       2024-03-27              1800                 796036
Cтоличная       2024-03-27              2876                 798912
Cтоличная       2024-03-27              1796                 800708
Cтоличная       2024-03-27              2859                 803567
Cтоличная       2024-03-27              1592                 805159
Cтоличная       2024-03-27              1826                 806985
Cтоличная       2024-03-27               383                 807368
Cтоличная       2024-03-27              1350                 808718
Cтоличная       2024-03-28               671                 809389
Cтоличная       2024-03-28              4770                 814159
Cтоличная       2024-03-28              2295                 816454
Cтоличная       2024-03-28              2600                 819054
Cтоличная       2024-03-28              4465                 823519
Cтоличная       2024-03-28              2272                 825791
Cтоличная       2024-03-29               900                 826691
Cтоличная       2024-03-29              2709                 829400
Cтоличная       2024-03-29              2787                 832187
Cтоличная       2024-03-29              2716                 834903
Cтоличная       2024-03-29              1856                 836759
Cтоличная       2024-03-29              1626                 838385
Cтоличная       2024-03-29              1350                 839735
Cтоличная       2024-03-29               900                 840635
Cтоличная       2024-03-29               907                 841542
Cтоличная       2024-03-30               730                 842272
Cтоличная       2024-03-30              1682                 843954
Cтоличная       2024-03-30              1788                 845742
Cтоличная       2024-03-30              1422                 847164
Cтоличная       2024-03-30               742                 847906
Cтоличная       2024-03-30              1800                 849706
Cтоличная       2024-03-30              2180                 851886
Cтоличная       2024-03-30               557                 852443
Cтоличная       2024-03-30               450                 852893
Cтоличная       2024-03-31              2252                 855145
Cтоличная       2024-03-31              2650                 857795
Cтоличная       2024-03-31               700                 858495
Cтоличная       2024-03-31               450                 858945
Cтоличная       2024-03-31              2548                 861493
Cтоличная       2024-03-31              1776                 863269
Cтоличная       2024-03-31              4625                 867894
Cтоличная       2024-03-31               394                 868288
Cтоличная       2024-03-31              2250                 870538
Cтоличная       2024-04-01              1296                 871834
Cтоличная       2024-04-01              1980                 873814
Cтоличная       2024-04-01              3435                 877249
Cтоличная       2024-04-01               421                 877670
Cтоличная       2024-04-01              1800                 879470
Cтоличная       2024-04-01              3028                 882498
Cтоличная       2024-04-01              2310                 884808
Cтоличная       2024-04-01              1904                 886712
Cтоличная       2024-04-02              3428                 890140
Cтоличная       2024-04-02              1096                 891236
Cтоличная       2024-04-02              2322                 893558
Cтоличная       2024-04-02               388                 893946
Cтоличная       2024-04-03               450                 894396
Cтоличная       2024-04-03              3632                 898028
Cтоличная       2024-04-03              3412                 901440
Cтоличная       2024-04-03              2832                 904272
Cтоличная       2024-04-03               650                 904922
Cтоличная       2024-04-03              2094                 907016
Cтоличная       2024-04-03               748                 907764
Cтоличная       2024-04-03              1350                 909114
Cтоличная       2024-04-03              4895                 914009
Cтоличная       2024-04-04              4780                 918789
Cтоличная       2024-04-04              4305                 923094
Cтоличная       2024-04-04              1686                 924780
Cтоличная       2024-04-04               523                 925303
Cтоличная       2024-04-04              3776                 929079
Cтоличная       2024-04-04              2860                 931939
Cтоличная       2024-04-05              1536                 933475
Cтоличная       2024-04-05              2418                 935893
Cтоличная       2024-04-05              1870                 937763
Cтоличная       2024-04-05               900                 938663
Cтоличная       2024-04-05              2547                 941210
Cтоличная       2024-04-05              2124                 943334
Cтоличная       2024-04-05               686                 944020
Cтоличная       2024-04-05              1844                 945864
Cтоличная       2024-04-05              1905                 947769
Cтоличная       2024-04-06              3324                 951093
Cтоличная       2024-04-06              4005                 955098
Cтоличная       2024-04-06              2202                 957300
Cтоличная       2024-04-06               964                 958264
Cтоличная       2024-04-06               900                 959164
Cтоличная       2024-04-06              2240                 961404
Cтоличная       2024-04-06              2256                 963660
Cтоличная       2024-04-06              4920                 968580
Cтоличная       2024-04-06              4545                 973125
Cтоличная       2024-04-07               350                 973475
Cтоличная       2024-04-07               932                 974407
Cтоличная       2024-04-07               497                 974904
Cтоличная       2024-04-07              3964                 978868
Cтоличная       2024-04-07               804                 979672
Cтоличная       2024-04-08              2536                 982208
Cтоличная       2024-04-08               437                 982645
Cтоличная       2024-04-08               847                 983492
Cтоличная       2024-04-08               930                 984422
Cтоличная       2024-04-08               899                 985321
Cтоличная       2024-04-08              1746                 987067
Cтоличная       2024-04-08              1545                 988612
Cтоличная       2024-04-08              2444                 991056
Cтоличная       2024-04-08              1719                 992775
Cтоличная       2024-04-08              1456                 994231
Cтоличная       2024-04-09              4575                 998806
Cтоличная       2024-04-09               934                 999740
Cтоличная       2024-04-09               372                1000112
Cтоличная       2024-04-09               988                1001100
Cтоличная       2024-04-09              1715                1002815
Cтоличная       2024-04-09              1719                1004534
Cтоличная       2024-04-09               462                1004996
Cтоличная       2024-04-09              1278                1006274
Cтоличная       2024-04-09              2886                1009160
Cтоличная       2024-04-10               716                1009876
Cтоличная       2024-04-10              2220                1012096
Cтоличная       2024-04-10               891                1012987
Cтоличная       2024-04-10               850                1013837
Cтоличная       2024-04-10              1612                1015449
Cтоличная       2024-04-10              3820                1019269
Cтоличная       2024-04-10              4550                1023819
Cтоличная       2024-04-10               992                1024811
Cтоличная       2024-04-10               670                1025481
Cтоличная       2024-04-10              2460                1027941
Cтоличная       2024-04-10              1566                1029507
Cтоличная       2024-04-11              2076                1031583
Cтоличная       2024-04-11              2208                1033791
Cтоличная       2024-04-11              3888                1037679
Cтоличная       2024-04-11              3500                1041179
Cтоличная       2024-04-11              1868                1043047
Cтоличная       2024-04-11               936                1043983
Cтоличная       2024-04-12              3855                1047838
Cтоличная       2024-04-12              3788                1051626
Cтоличная       2024-04-12              1350                1052976
Cтоличная       2024-04-12              2052                1055028
Cтоличная       2024-04-12              3940                1058968
Cтоличная       2024-04-12              2256                1061224
Cтоличная       2024-04-12              1784                1063008
Cтоличная       2024-04-13              2376                1065384
Cтоличная       2024-04-13               450                1065834
Cтоличная       2024-04-13               982                1066816
Cтоличная       2024-04-13              1944                1068760
Cтоличная       2024-04-13               602                1069362
Cтоличная       2024-04-13              2250                1071612
Cтоличная       2024-04-13              3904                1075516
Cтоличная       2024-04-13               724                1076240
Cтоличная       2024-04-13              3955                1080195
Cтоличная       2024-04-13              2004                1082199
Cтоличная       2024-04-13              4665                1086864
Cтоличная       2024-04-13              3185                1090049
Cтоличная       2024-04-14              2424                1092473
Cтоличная       2024-04-14              2727                1095200
Cтоличная       2024-04-14              2388                1097588
Cтоличная       2024-04-14               900                1098488
Cтоличная       2024-04-14              1910                1100398
Cтоличная       2024-04-14               415                1100813
Cтоличная       2024-04-14               450                1101263
Cтоличная       2024-04-14              3308                1104571
Cтоличная       2024-04-14               945                1105516
Cтоличная       2024-04-15              1302                1106818
Cтоличная       2024-04-15              2250                1109068
Cтоличная       2024-04-15               886                1109954
Cтоличная       2024-04-15              3560                1113514
Cтоличная       2024-04-15              4425                1117939
Cтоличная       2024-04-15              1350                1119289
Cтоличная       2024-04-15               323                1119612
Cтоличная       2024-04-16               972                1120584
Cтоличная       2024-04-16              3556                1124140
Cтоличная       2024-04-16              1350                1125490
Cтоличная       2024-04-16               366                1125856
Cтоличная       2024-04-16              3672                1129528
Cтоличная       2024-04-16              1971                1131499
Cтоличная       2024-04-16              1140                1132639
Cтоличная       2024-04-16               844                1133483
Cтоличная       2024-04-16              3052                1136535
Cтоличная       2024-04-16              1174                1137709
Cтоличная       2024-04-16               529                1138238
Cтоличная       2024-04-16               779                1139017
Cтоличная       2024-04-17               616                1139633
Cтоличная       2024-04-17               500                1140133
Cтоличная       2024-04-17              1185                1141318
Cтоличная       2024-04-17              2250                1143568
Cтоличная       2024-04-17              3985                1147553
Cтоличная       2024-04-17               433                1147986
Cтоличная       2024-04-17               921                1148907
Cтоличная       2024-04-17              1404                1150311
Cтоличная       2024-04-17              1932                1152243
Cтоличная       2024-04-17              1312                1153555
Cтоличная       2024-04-18              1050                1154605
